MIRA SN,PROBE IP,SUBNET MASK,GATEWAY,,,Central  0 IP,Central  0 SNTP,Global NTP List,New Updater IP
30304,10.123.15.80,255.255.254.0,10.123.14.1,,,10.251.5.171:31000,10.251.4.52,10.251.4.52,10.251.5.171:31111
30392,10.107.53.80,255.255.254.0,10.107.52.1,,,,,,
30393,10.107.85.80,255.255.254.0,10.107.84.1,,,,,,
30395,10.211.60.80,255.255.254.0,10.211.60.1,,,,,,
30398,10.139.98.80,255.255.254.0,10.139.98.1,,,,,,
30404,10.107.33.80,255.255.254.0,10.107.32.1,,,,,,
30416,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30418,10.195.90.80,255.255.254.0,10.195.90.1,,,,,,
30419,172.18.208.35,255.255.252.0,172.18.208.1,,,,,,
30428,10.147.24.80,255.255.254.0,10.147.24.1,,,,,,
30432,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30433,10.123.23.80,255.255.254.0,10.123.22.1,,,,,,
30441,10.107.87.80,255.255.254.0,10.107.86.1,,,,,,
30442,10.43.18.80,255.255.254.0,10.43.18.1,,,,,,
30443,10.211.86.80,255.255.254.0,10.211.86.1,,,,,,
30444,10.211.110.80,255.255.254.0,10.211.110.1,,,,,,
30445,10.195.62.80,255.255.254.0,10.195.62.1,,,,,,
30446,10.107.23.80,255.255.254.0,10.107.22.1,,,,,,
30447,10.107.83.80,255.255.254.0,10.107.82.1,,,,,,
30448,10.123.99.80,255.255.254.0,10.123.98.1,,,,,,
30449,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30450,10.123.77.80,255.255.254.0,10.123.76.1,,,,,,
30451,10.107.91.80,255.255.254.0,10.107.90.1,,,,,,
30452,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30453,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30454,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30455,10.123.69.80,255.255.254.0,10.123.68.1,,,,,,
30456,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30457,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30458,10.107.115.80,255.255.254.0,10.107.114.1,,,,,,
30459,10.195.88.80,255.255.254.0,10.195.88.1,,,,,,
30460,10.195.48.80,255.255.254.0,10.195.48.1,,,,,,
30461,10.139.48.80,255.255.254.0,10.139.48.1,,,,,,
30462,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30463,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30464,10.123.65.80,255.255.254.0,10.123.64.1,,,,,,
30465,10.107.37.80,255.255.254.0,10.107.36.1,,,,,,
30466,10.195.78.80,255.255.254.0,10.195.78.1,,,,,,
30467,10.123.67.80,255.255.254.0,10.123.66.1,,,,,,
30468,10.139.122.80,255.255.254.0,10.139.122.1,,,,,,
30469,10.195.96.80,255.255.254.0,10.195.96.1,,,,,,
30470,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30471,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30472,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30473,10.123.105.80,255.255.254.0,10.123.104.1,,,,,,
30474,10.195.118.80,255.255.254.0,10.195.118.1,,,,,,
30475,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30476,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30477,10.107.81.80,255.255.254.0,10.107.80.1,,,,,,
30478,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30479,10.107.119.80,255.255.254.0,10.107.118.1,,,,,,
30480,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30481,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30482,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30483,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30484,10.195.98.80,255.255.254.0,10.195.98.1,,,,,,
30485,10.75.5.80,255.255.254.0,10.75.4.1,,,,,,
30486,10.211.70.80,255.255.254.0,10.211.70.1,,,,,,
30487,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30488,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30490,10.139.50.80,255.255.254.0,10.139.50.1,,,,,,
30491,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30492,10.91.3.80,255.255.254.0,10.91.2.1,,,,,,
30493,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30494,10.11.18.80,255.255.254.0,10.11.18.1,,,,,,
30497,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30498,10.11.20.80,255.255.254.0,10.11.20.1,,,,,,
30499,10.211.54.80,255.255.254.0,10.211.54.1,,,,,,
30500,10.83.45.80,255.255.254.0,10.83.44.1,,,,,,
30501,10.139.100.80,255.255.254.0,10.139.100.1,,,,,,
30502,10.147.18.80,255.255.254.0,10.147.18.1,,,,,,
30503,10.107.93.80,255.255.254.0,10.107.92.1,,,,,,
30504,10.195.54.80,255.255.254.0,10.195.54.1,,,,,,
30505,10.195.126.80,255.255.254.0,10.195.126.1,,,,,,
30506,10.139.62.80,255.255.254.0,10.139.62.1,,,,,,
30507,10.123.97.80,255.255.254.0,10.123.96.1,,,,,,
30508,10.107.27.80,255.255.254.0,10.107.26.1,,,,,,
30509,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30511,10.27.72.80,255.255.254.0,10.27.72.1,,,,,,
30512,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30513,10.11.16.80,255.255.254.0,10.11.16.1,,,,,,
30514,10.103.79.80,255.255.254.0,10.103.78.1,,,,,,
30515,10.195.58.80,255.255.254.0,10.195.58.1,,,,,,
30516,10.147.16.80,255.255.254.0,10.147.16.1,,,,,,
30517,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30518,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30519,10.195.56.80,255.255.254.0,10.195.56.1,,,,,,
30520,10.83.53.80,255.255.254.0,10.83.52.1,,,,,,
30521,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30523,10.195.34.80,255.255.254.0,10.195.34.1,,,,,,
30524,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30525,10.195.30.80,255.255.254.0,10.195.30.1,,,,,,
30526,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30527,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
